behavior,gamma,seed,coverage_bin,coverage_adequate,right_reward_events_per_10000,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,target_mean_within_mc_tolerance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error,soft_greedy_raw_return,sampled_greedy_raw_return
mild_right_bias,0.95,2,borderline,False,65.39999999999999,4.933333333333334,9.200901699166208e-05,0.0007814031869616582,True,0.002954514797741501,0.013799944908641261,0.01757223075585922,0.03980771656374415,79.85,79.92
mild_right_bias,0.95,3,borderline,False,65.2,4.533333333333333,5.440841568668531e-05,0.0006634099343279328,True,0.0023829974596401827,0.013049867953299384,0.005397454691642535,0.035648737121523465,80.41,78.7
mild_right_bias,0.95,4,borderline,False,61.06666666666666,3.466666666666667,0.00015028908646635974,0.0006742772325391002,True,0.003784747431318169,0.012397771249801695,0.0038745614791131206,0.04317491662769458,79.67,0.0
mild_right_bias,0.95,5,borderline,False,64.4,4.133333333333333,0.0001303268668561841,0.0007447049299149146,True,0.0031354685550271147,0.010726906603649377,0.01234350088080839,0.024943011375524102,79.37,79.65
mild_right_bias,0.95,6,borderline,False,63.33333333333333,5.133333333333333,7.98247536239749e-05,0.0007473204843073398,True,0.0024721682043239573,0.020601657823930215,0.014699273246673611,0.03076713860163506,80.38,79.28
mild_right_bias,0.95,7,borderline,False,62.33333333333333,4.8,1.2515764989173839e-05,0.0008712541702279037,True,0.004116537272039783,0.006128949613182648,0.0044093598882482335,0.027594846625311895,79.28,81.54
mild_right_bias,0.95,8,borderline,False,64.06666666666666,4.533333333333333,2.4704475629633293e-05,0.0007841148598928979,True,0.0037531431341718685,0.011195679549136332,0.004314343888065624,0.022442151157367005,80.63,79.88
mild_right_bias,0.95,9,borderline,False,63.6,3.2666666666666666,0.00022341012366181023,0.0007185767990349842,True,0.003026417687177353,0.010865023680604656,0.009670403383347901,0.04691815201428651,81.03,81.65
mild_right_bias,0.99,0,borderline,False,58.266666666666666,0.8666666666666667,9.47884694987855e-06,0.00029950015383469765,True,0.0009785997755687563,0.003977631098841296,0.1925487486046983,0.11148726461025053,78.93,0.0
mild_right_bias,0.99,1,borderline,False,67.2,1.0,2.6949818954680183e-05,0.00025561680114661206,True,0.0011363237151517866,0.002811439235703067,0.1772297435758032,0.15699622457015255,80.96,2.000000000000001
mild_right_bias,0.99,2,borderline,False,58.13333333333333,0.4666666666666667,7.866045471982552e-06,0.0001942399969873583,True,0.001590373857205625,0.0024710966515621227,0.19779649405132194,0.22645233980190702,79.85,2.000000000000001
mild_right_bias,0.99,3,borderline,False,70.60000000000001,1.0666666666666667,6.431693149802631e-05,0.0002907194703507681,True,0.0013218491772243532,0.0048827151250247685,0.170574981373793,0.06655574618401823,80.41,2.000000000000001
mild_right_bias,0.99,4,borderline,False,65.46666666666667,0.5333333333333333,8.32135827987246e-05,0.00022105533028411866,True,0.0013229714187726037,0.0026422511910357805,0.179875659449145,0.22351170181429517,79.67,80.4
mild_right_bias,0.99,5,borderline,False,61.46666666666667,0.8666666666666667,4.5160342461797454e-05,0.0002886037034991696,True,0.0010948410314219244,0.003832344075570489,0.1898101476593311,0.13311702641388734,79.37,0.0
