gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_population_variance,mean_conditional_sampling_variance,soft_mean_value_error_sufficient,sampled_mean_value_error_sufficient,soft_mean_bellman_residual_sufficient,sampled_mean_bellman_residual_sufficient
0.95,4,25000,490.4,0.0002542526290587599,0.0012654413262749974,0.015915583015732246,0.0011120428821143227,0.09300189503308012,0.09447393827276222,0.06641884367089265,0.06790582332285706
0.95,4,50000,486.8,0.00012958861927403476,0.0008858600002662181,0.00966983900858369,0.0010899276945439773,0.1415288219889324,0.13798292354573066,0.056508113446309925,0.062409650518888075
0.95,4,100000,486.40000000000003,3.0734305393687045e-05,0.0006039885738085873,0.006139246306137668,0.001013339436920365,0.17856328555069031,0.15668410222120896,0.0633900615784647,0.07572002782402744
0.95,4,200000,489.85,1.634708040776367e-05,0.0003578636152675627,0.00338438714194354,0.0007114798174020562,0.13370230543477898,0.1252381411959773,0.05432575448926195,0.05998906979042987
0.95,5,1000,490.0,0.0004897120329451221,0.02590807490172822,0.1490887583381748,0.018645231808709993,0.6427461768858266,0.6217665832882907,0.1357738360817917,0.1393943478359138
0.95,5,5000,509.99999999999994,0.0009737115518654305,0.007414571040615325,0.07657176785859249,0.007635536627268256,0.5403468105308588,0.5334878886389084,0.16498088898164784,0.16177443238591294
0.95,5,10000,507.0,0.00045420387415073815,0.004642188789761202,0.050988114273518556,0.005986087988829048,0.43174438247018393,0.4387787462303055,0.12897710171656487,0.12892530961516482
0.95,5,25000,476.40000000000003,0.00015478705748206423,0.002263338057150052,0.02666503029779006,0.0035574299728776196,0.2292932634711737,0.23435631694596143,0.11230092722657715,0.12056442354097857
0.95,5,50000,487.79999999999995,0.00012187175761391167,0.0013159496673608379,0.01450897977863356,0.0024051715653154167,0.13362736421931376,0.13709949237108696,0.04639969029237059,0.05012672749098485
0.95,5,100000,492.5,0.00010681822077662773,0.0007610032298050064,0.00794732711294637,0.0016086830993712537,0.11350403413800313,0.11645258354373887,0.035421181709382875,0.044903002578433444
0.95,5,200000,494.9,5.2107690078351254e-05,0.0004318589478589083,0.004309929097606239,0.0010361230602544626,0.07580166237778158,0.0792174200881786,0.03303903122398612,0.039217096527334835
0.95,6,1000,410.0,0.0006142246834340837,0.01910639651571136,0.10264323498565028,0.010140399661544088,0.2840817367811073,0.3056222260776379,0.18456444660879137,0.19453164682755344
0.95,6,5000,506.0,0.0005907821936976809,0.006292394404108,0.03637491935109018,0.005499198241229122,0.21465140389890247,0.21857426011416214,0.1284842617117221,0.14062088091527142
0.95,6,10000,468.0,0.00013729382522142952,0.004071599465043583,0.02808441511290377,0.004604978389928664,0.22602158589572888,0.23042613870241213,0.08914155065710072,0.09758069030015917
0.95,6,25000,466.8,0.00011384846232143087,0.00213736267546844,0.016478032675434046,0.0031724438933927847,0.2416165596035793,0.22783770749711027,0.08997144542935928,0.1089731378891811
0.95,6,50000,467.4,0.00011223158792217358,0.0013241023679129757,0.009561125494685421,0.002435065389878818,0.13819317960649863,0.12663972933493292,0.07396946058486872,0.07490199059925909
0.95,6,100000,483.29999999999995,0.0001323841930926939,0.0008091136753834388,0.006065135641176202,0.0018185137213680464,0.11383505245812706,0.10845008777515047,0.04821081396491235,0.05092292333421905
0.95,6,200000,483.95,8.045826470826078e-05,0.0004567915178390718,0.0033041815027462875,0.0011592138376095725,0.07805282497182707,0.08097913624982286,0.03594716018648324,0.0378901266132878
0.95,7,1000,360.0,0.003319059846944139,0.019460564974599366,0.10571913735727882,0.010519821920294542,0.2111803291789032,0.2491615564206313,0.14452188953188685,0.17026202228234677
0.95,7,5000,420.0,6.304990432448587e-05,0.006181345995938798,0.04069365952990342,0.005306810877987308,0.19466280500310423,0.19615876729449233,0.09882925342531645,0.10199828328985668
0.95,7,10000,436.0,0.0003722293101141583,0.003736418492752943,0.02331064293247736,0.0038780064313850473,0.10201618687375556,0.10836457825350851,0.0708908356061924,0.07463395199670277
0.95,7,25000,480.79999999999995,0.00026965008990675887,0.0018857089982936017,0.010861463643317191,0.0024693739071149023,0.03640312629496105,0.03730265392243567,0.029156569719080545,0.032629218040666576
0.95,7,50000,487.59999999999997,0.00025861984082686806,0.0011840597712622545,0.0068550297774666175,0.0019472188082244755,0.08734634946623986,0.08531573723604426,0.05066569109894421,0.05234855141304871
0.95,7,100000,494.2,4.093649736502947e-05,0.0007334076843024044,0.004268359767123328,0.0014941300872050429,0.07093710341513237,0.08059972057693619,0.03470009176593071,0.03575197328475596
0.95,7,200000,491.9,5.1142064263265397e-05,0.0004226826052214048,0.002461472743719027,0.0009925588042041884,0.044175341964939316,0.05452256081350315,0.026368105855914786,0.035661577357850076
0.95,8,1000,390.0,0.0036280366493943728,0.028054601271308478,0.11241628324704378,0.021862795902558425,0.6929857377608208,0.6410113021500427,0.09731406335839198,0.13330303908876126
0.95,8,5000,463.99999999999994,0.002339028308551594,0.007757205525069014,0.08728585516621278,0.008357532994189058,0.48294041153429573,0.4797147235814418,0.1624154093418951,0.15104586078728358
0.95,8,10000,463.99999999999994,0.0008592379764305047,0.004428819946711128,0.05247765938418172,0.005448457255662879,0.2860343372210987,0.2800418272186657,0.1451600403152471,0.15134076472571842
0.95,8,25000,502.4,0.0001951885233252293,0.0019964007924414234,0.024344490892971783,0.0027677889750421826,0.17582653289768108,0.16747672309923875,0.0757757678912943,0.07952592580902813
0.95,8,50000,497.99999999999994,6.922642462103834e-05,0.0011512555986198678,0.013263761581125905,0.001840818685213319,0.11362738957689585,0.1077570082893569,0.0496772440817986,0.05516638208358347
0.95,8,100000,491.40000000000003,2.0352366755682638e-05,0.0006917329699206472,0.007244380718270194,0.0013291513935423304,0.10405790982168868,0.09926657131062396,0.04130066038678755,0.04690891858529844
0.95,8,200000,490.05,7.773190528104212e-05,0.0003866986290887455,0.003801145331458041,0.0008307546096617508,0.07799292487595508,0.07481216908096364,0.03138698214684563,0.03359331009064849
0.95,9,1000,530.0,0.004277415535963169,0.020636825663795298,0.09740461972036718,0.011829960374385561,0.42370304034718637,0.3773377843008625,0.12309248689646196,0.13383960413975032
0.95,9,5000,463.99999999999994,0.001496050986983466,0.0067050113576842445,0.05633752530388142,0.006244052403704824,0.4332705351630576,0.42743260231652047,0.1443505206917344,0.1536964157932457
0.95,9,10000,454.00000000000006,0.0005404397841783926,0.003969101148106406,0.03517329546152916,0.004376045534416553,0.20111420557623275,0.19818308883807467,0.1324246363524705,0.13164355737365774
0.95,9,25000,488.40000000000003,6.770558026891749e-06,0.0020599880448559523,0.016869352261701005,0.0029469102395482285,0.09587034059346354,0.10000730403578295,0.07424136170248798,0.0775809255061421
0.95,9,50000,484.4,2.9128086749374837e-05,0.001249113860268736,0.00950438570533038,0.0021670631054381438,0.058610364991547675,0.0659956995709608,0.04821404070015385,0.056381541135819786
0.95,9,100000,486.3,8.022747083591408e-05,0.0007457438718439643,0.005803971024939233,0.0015448164510911864,0.046955519929508964,0.04881122369178349,0.015875843126536747,0.0182765844778843
0.95,9,200000,489.0,2.875031188676047e-06,0.00041348701605387723,0.003166154264922752,0.0009498417358063298,0.04983243538274265,0.056005148114082345,0.015004253786172731,0.02098454356047487
0.99,0,1000,120.0,0.002892698910634317,0.012013640782337517,0.05882865985663834,0.004009099023528976,0.6941423980551458,0.6012247505497981,0.13285372714942292,0.12434025126397759
0.99,0,5000,95.99999999999999,0.0008037979755315394,0.002648072729923198,0.06389281626938406,0.0009739290531892914,0.2837973192523549,0.2535566690380243,0.20150275968429376,0.18189308260031295
0.99,0,10000,103.0,0.0004488925796659604,0.001342133462297988,0.04077834788135547,0.000500367286283329,0.1328998858876816,0.11623699273535888,0.11201871469238747,0.09830012767940556
0.99,0,25000,107.2,0.0001869455662402153,0.0005770768642435556,0.019361927995543628,0.0002312622966980382,0.04238185417868672,0.04057435899588922,0.03603042611083286,0.03496063125898651
0.99,0,50000,104.60000000000001,9.287027963933436e-05,0.00040452594439521,0.010383582126736821,0.0002272794995678285,0.04294799241972469,0.042428309710404025,0.03282867550129728,0.032707027273575155
0.99,0,100000,103.5,6.443497334107651e-05,0.00026316359894860573,0.005419240649757974,0.00019237522169884055,0.0398241281890935,0.040297765898439565,0.029026291127140273,0.029536936637222778
0.99,0,200000,98.05,5.1855379188725514e-05,0.00015916196234365017,0.0027696025278980143,0.0001407362792060084,0.026261246569143745,0.026820611347950173,0.020129938106317736,0.02079657719584486
0.99,1,1000,140.0,0.0027310059512251073,0.009999573240523897,0.06419348384249823,0.0027775406942389335,0.5638881810777534,0.40819609979817106,0.12926696686946637,0.15059052088025174
0.99,1,5000,104.0,0.00036030812412413127,0.00232030840790653,0.04470447327031911,0.000747754320528019,0.23769304309615719,0.22706092734788777,0.16869346312025563,0.16811461995593432
0.99,1,10000,97.0,0.00019798137986937192,0.001481710203058371,0.03950593019593321,0.0006098514238464665,0.32806164167835217,0.30923435063665494,0.099813596876637,0.10058113842350642
0.99,1,25000,95.60000000000001,0.00012132276618181947,0.000722608489234361,0.01781576449777998,0.0003626132143844206,0.24889811413454335,0.2350886410900009,0.0678311044859979,0.06902011944796892
0.99,1,50000,98.8,2.500324715382085e-06,0.0004820873286720635,0.009606235721978374,0.0003227891562030086,0.20441564970110604,0.19886750446733886,0.06822556547635841,0.06362966393487744
0.99,1,100000,95.7,8.04578096169628e-06,0.0003123150219500683,0.005014777140861542,0.00027094631371019903,0.13046251023449698,0.1280665616630588,0.0518055733771013,0.052474991315861
0.99,1,200000,97.30000000000001,2.3568200722134947e-05,0.00019105418280248055,0.0028573295461455372,0.0002027872264795759,0.1233143832441846,0.1143248827696833,0.031910870635742564,0.029325066120616403
0.99,2,1000,70.0,0.001008799464554233,0.014302818773810223,0.05377819755896254,0.005682517357679394,0.7008080321724033,0.7373597130934786,0.1283929258634536,0.11545417448847406
0.99,2,5000,70.0,0.00029896626294312334,0.0036718762854546527,0.09872966392156081,0.0018725938132894801,0.38873021398443813,0.40773920872088143,0.15247772059114403,0.14777025539474853
0.99,2,10000,70.0,0.00012498173020114578,0.00218174131113149,0.058944446201532545,0.0013222208746382646,0.38610986089851196,0.40607322853614247,0.1727076128067763,0.172789310827925
0.99,2,25000,89.6,6.0807691335429404e-05,0.0011418283109706866,0.02773027154400902,0.0009053971470376186,0.09600202821904358,0.09731683327384505,0.07358694370392414,0.07824244565001624
0.99,2,50000,92.99999999999999,3.656632435966589e-05,0.0006630208853378798,0.014682592641882607,0.0006105509644364249,0.09856252261570593,0.09944253583962438,0.08521725318892882,0.08695111315705065
0.99,2,100000,96.10000000000001,7.248674938176158e-06,0.00039939918043416505,0.007721839899510885,0.000443110292587452,0.046739396181823746,0.04669595746309351,0.0358734662539428,0.036088189090513284
0.99,2,200000,96.39999999999999,1.7864750465612644e-06,0.00022448531780410664,0.003980717353120858,0.00027996476616450424,0.02551552543864422,0.02593160263373096,0.02363747616136367,0.02418740275254763
0.99,3,1000,100.0,0.000627211269214889,0.015136714125236365,0.016310965491058604,0.006364447625253612,0.8160771122426725,0.8098938527015146,0.06660082485748815,0.07337689459520981
0.99,3,5000,120.0,0.0005366066447628492,0.0038455726924930766,0.09754509445454802,0.002053948518506729,0.3843692913811214,0.34529267376593226,0.16383879606800655,0.16744996486423724
0.99,3,10000,104.0,0.0001419756360770963,0.0020925218605428926,0.07133507412799367,0.001216291038013858,0.2565857878324979,0.24802688588659214,0.13890316249465567,0.13753615239872233
0.99,3,25000,94.4,2.4863898330673706e-05,0.0010154507300136843,0.034462169999583514,0.0007160695729759199,0.17421738884404492,0.1705428500229478,0.13061820171264438,0.1282560697143253
0.99,3,50000,98.60000000000001,8.778177195112313e-05,0.0006112691936582572,0.018549366269879814,0.000518958370993911,0.09659636163320993,0.09485767619954742,0.05832660620959895,0.05775822962193319
0.99,3,100000,97.19999999999999,5.0414513428020946e-05,0.00036188800357190773,0.009997857874532657,0.00036378590869239183,0.10851195175248435,0.11020140611326844,0.04733997641637249,0.0501662393069447
0.99,3,200000,99.35,3.38824750697464e-05,0.00020695395199033466,0.005181072510665669,0.00023794410135787635,0.0804641450583742,0.08091976535993368,0.05415327268351797,0.05597715295641002
0.99,4,1000,100.0,4.225198457885604e-05,0.01690621258437627,0.021177613002471618,0.00793944510967007,0.827248561549383,0.817570936652862,0.04965606759769264,0.10324908978550035
0.99,4,5000,100.0,0.0003955645532636165,0.0039622203065853,0.10348196331029681,0.0021804430219329045,0.41699350482849756,0.3845933934662059,0.1461423955821195,0.15076501690540225
0.99,4,10000,117.0,0.00025157090541882976,0.0020447246337191717,0.07863945564729323,0.0011613607854827782,0.3118055600404414,0.29331144302283163,0.1267714541089313,0.1255423043403138
0.99,4,25000,107.2,0.00011360313179664683,0.0008669566525513151,0.0386906578013518,0.0005219540537520704,0.23978250849570248,0.22874111129854355,0.09780009788077582,0.0971929534890166
0.99,4,50000,104.0,0.0001037079785339845,0.0005327976625234179,0.020725853103528896,0.00039426854054224706,0.1931015159433733,0.1865875985701562,0.09001759896194578,0.08753346143584835
0.99,4,100000,100.6,6.724772762267683e-05,0.00032508517291194097,0.010810049357385752,0.000293556582353296,0.130615358270784,0.12681032162954514,0.08859637388553178,0.0863640828316049
0.99,4,200000,98.89999999999999,4.933689516417594e-05,0.00019102003667436713,0.005551738976980536,0.00020271474672820314,0.07963204344574265,0.07806318728770753,0.06341565046952345,0.06251955703230197
0.99,5,1000,100.0,0.0018924729267087992,0.0124142047582191,0.06691101588552856,0.004280902216083048,0.7980721808840883,0.7068534827060798,0.09151124847117463,0.11321496908223544
0.99,5,5000,88.0,0.0009879138571147195,0.0036044052199489876,0.06664663228034585,0.0018044079152215989,0.43390436368889956,0.40592025417294475,0.200903865337886,0.19889113953457757
0.99,5,10000,82.0,0.00038903801608669575,0.0021595073149608887,0.04010711630625626,0.0012954088453804406,0.394362945904996,0.3790429931543596,0.19952579987970467,0.19959371986868413
0.99,5,25000,85.6,0.00011931291179956283,0.0011029566821956446,0.01817947029800045,0.0008448010019444609,0.2609049431912845,0.2549827346109816,0.15926771550797017,0.15685261695315952
0.99,5,50000,90.60000000000001,0.00011623786373848866,0.0006500371267362175,0.01170305414614227,0.0005868725918548295,0.13174876071096345,0.1304138838942067,0.03340604215108251,0.035870922953581304
