case_id,family,seed,context,observed_cue,eval_weight,method,estimated_action,latent_oracle_action,action_disagreement_with_latent_oracle,teleport_action_selected,policy_regret,heldout_long_horizon_value_mse,calibration_error,teleport_q_overestimation,teleport_q_underestimation,exact_safe_q,exact_teleport_q,estimated_safe_q,estimated_teleport_q
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,history_trl_log,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000001,0.10935
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,history_mc_plus_trl_log,safe,safe,False,False,0.0,2.465190328815662e-32,1.1102230246251565e-16,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000003,0.10935
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,history_model_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000001,0.10935
cue_sufficient_seed4,cue_sufficient,4,bad,cue_b,1.0,latent_oracle_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.10935,0.6561000000000001,0.10935
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,observation_empirical_model_dp,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,observation_trl_log,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,history_mc_only,safe,teleport,True,False,0.03644999999999987,0.4550463562500001,0.6743250000000001,0.0,0.69255,0.6561000000000001,0.69255,0.0,0.0
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,history_trl_log,safe,teleport,True,False,0.03644999999999987,0.06643012499999998,0.18224999999999997,0.0,0.36449999999999994,0.6561000000000001,0.69255,0.6561000000000001,0.32805000000000006
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,history_mc_plus_trl_log,safe,teleport,True,False,0.03644999999999987,0.06643012499999994,0.18225000000000002,0.0,0.3644999999999998,0.6561000000000001,0.69255,0.6561000000000003,0.3280500000000002
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,history_model_dp,safe,teleport,True,False,0.03644999999999987,0.06643012499999998,0.18224999999999997,0.0,0.36449999999999994,0.6561000000000001,0.69255,0.6561000000000001,0.32805000000000006
cue_noisy_seed0,cue_noisy,0,good,cue_g,0.6071428571428571,latent_oracle_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,observation_empirical_model_dp,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,observation_trl_log,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,history_mc_only,safe,teleport,True,False,0.03644999999999987,0.4550463562500001,0.6743250000000001,0.0,0.69255,0.6561000000000001,0.69255,0.0,0.0
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,history_trl_log,safe,teleport,True,False,0.03644999999999987,0.01062881999999999,0.07289999999999996,0.0,0.14579999999999993,0.6561000000000001,0.69255,0.6561000000000001,0.5467500000000001
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,history_mc_plus_trl_log,safe,teleport,True,False,0.03644999999999987,0.010628819999999957,0.07289999999999996,0.0,0.1457999999999997,0.6561000000000001,0.69255,0.6561000000000003,0.5467500000000003
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,history_model_dp,safe,teleport,True,False,0.03644999999999987,0.01062881999999999,0.07289999999999996,0.0,0.14579999999999993,0.6561000000000001,0.69255,0.6561000000000001,0.5467500000000001
cue_noisy_seed0,cue_noisy,0,good,cue_b,0.39285714285714285,latent_oracle_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,observation_empirical_model_dp,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,observation_trl_log,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,history_mc_only,safe,safe,False,False,0.0,0.23184113625000008,0.4191750000000001,0.0,0.18225000000000002,0.6561000000000001,0.18225000000000002,0.0,0.0
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,history_trl_log,safe,safe,False,False,0.0,0.06643012500000002,0.18225000000000002,0.36450000000000005,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.5467500000000001
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,history_mc_plus_trl_log,safe,safe,False,False,0.0,0.0664301250000001,0.18225000000000025,0.36450000000000027,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000003,0.5467500000000003
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,history_model_dp,safe,safe,False,False,0.0,0.06643012500000002,0.18225000000000002,0.36450000000000005,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.5467500000000001
cue_noisy_seed0,cue_noisy,0,bad,cue_b,0.6071428571428571,latent_oracle_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.18225000000000002
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,observation_empirical_model_dp,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,observation_trl_log,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,history_mc_only,safe,safe,False,False,0.0,0.23184113625000008,0.4191750000000001,0.0,0.18225000000000002,0.6561000000000001,0.18225000000000002,0.0,0.0
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,history_trl_log,safe,safe,False,False,0.0,0.010628820000000006,0.07290000000000002,0.14580000000000004,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.32805000000000006
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,history_mc_plus_trl_log,safe,safe,False,False,0.0,0.010628820000000021,0.07290000000000019,0.14580000000000015,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000003,0.3280500000000002
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,history_model_dp,safe,safe,False,False,0.0,0.010628820000000006,0.07290000000000002,0.14580000000000004,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.32805000000000006
cue_noisy_seed0,cue_noisy,0,bad,cue_g,0.39285714285714285,latent_oracle_dp,safe,safe,False,False,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.18225000000000002,0.6561000000000001,0.18225000000000002
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,observation_empirical_model_dp,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,observation_trl_log,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,history_mc_only,safe,teleport,True,False,0.03644999999999987,0.4550463562500001,0.6743250000000001,0.0,0.69255,0.6561000000000001,0.69255,0.0,0.0
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,history_trl_log,safe,teleport,True,False,0.03644999999999987,0.03255076125,0.127575,0.0,0.25515,0.6561000000000001,0.69255,0.6561000000000001,0.4374
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,history_mc_plus_trl_log,safe,teleport,True,False,0.03644999999999987,0.032550761249999956,0.12757500000000002,0.0,0.2551499999999998,0.6561000000000001,0.69255,0.6561000000000003,0.4374000000000002
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,history_model_dp,safe,teleport,True,False,0.03644999999999987,0.03255076125,0.127575,0.0,0.25515,0.6561000000000001,0.69255,0.6561000000000001,0.4374
cue_noisy_seed1,cue_noisy,1,good,cue_g,0.7142857142857143,latent_oracle_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,observation_empirical_model_dp,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,observation_trl_log,safe,teleport,True,False,0.03644999999999987,0.03161182732438017,0.13481590909090907,0.0,0.2507318181818182,0.6561000000000001,0.69255,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,history_mc_only,safe,teleport,True,False,0.03644999999999987,0.4550463562500001,0.6743250000000001,0.0,0.69255,0.6561000000000001,0.69255,0.0,0.0
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,history_trl_log,safe,teleport,True,False,0.03644999999999987,0.03255076125,0.127575,0.0,0.25515,0.6561000000000001,0.69255,0.6561000000000001,0.4374
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,history_mc_plus_trl_log,safe,teleport,True,False,0.03644999999999987,0.032550761249999956,0.12757500000000002,0.0,0.2551499999999998,0.6561000000000001,0.69255,0.6561000000000003,0.4374000000000002
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,history_model_dp,safe,teleport,True,False,0.03644999999999987,0.03255076125,0.127575,0.0,0.25515,0.6561000000000001,0.69255,0.6561000000000001,0.4374
cue_noisy_seed1,cue_noisy,1,good,cue_b,0.2857142857142857,latent_oracle_dp,teleport,teleport,False,True,0.0,0.0,0.0,0.0,0.0,0.6561000000000001,0.69255,0.6561000000000001,0.69255
cue_noisy_seed1,cue_noisy,1,bad,cue_b,0.7142857142857143,observation_empirical_model_dp,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,bad,cue_b,0.7142857142857143,observation_trl_log,safe,safe,False,False,0.0,0.03386642550619833,0.13923409090909084,0.25956818181818175,0.0,0.6561000000000001,0.18225000000000002,0.675,0.4418181818181818
cue_noisy_seed1,cue_noisy,1,bad,cue_b,0.7142857142857143,history_mc_only,safe,safe,False,False,0.0,0.23184113625000008,0.4191750000000001,0.0,0.18225000000000002,0.6561000000000001,0.18225000000000002,0.0,0.0
