gamma,seed,transition,g_plus_events_per_10000,target_mean_abs_error,target_mean_mc_tolerance,sampled_target_variance,mean_conditional_sampling_variance,soft_mean_bellman_residual,sampled_mean_bellman_residual,soft_mean_value_error,sampled_mean_value_error
0.95,9,500,160.0,0.0035543239769321583,0.02989441891053186,0.015915824998612306,0.012412170583310626,0.0029412474638977094,0.010580473026790743,0.002941763654321804,0.01650179649055862
0.95,9,1000,160.0,0.0032236284744150273,0.02137583681111993,0.015910344092254128,0.012692399982656389,0.00048024293933560347,0.015343216816708846,0.0004802429401834241,0.015665647675849593
0.95,9,2500,152.0,0.0019531721605711982,0.013682802575317034,0.015374992453725127,0.013001325438548782,3.7748467423062704e-06,0.007341660255560267,3.7748467423479037e-06,0.019703389205829987
0.95,9,5000,140.0,0.000466797233486034,0.009701501093392201,0.014304227985932371,0.01307210048126251,3.414498637536549e-10,0.009385109789535386,3.414499053870183e-10,0.01910145677649806
0.95,9,10000,123.0,0.0011229643288187055,0.006868335999255723,0.012771470679098649,0.013103899832964476,4.2789845740761244e-17,0.006356407368018162,8.442320916420461e-17,0.026794960743053473
0.95,9,25000,135.20000000000002,0.00022077549477946684,0.004364086293229631,0.014053738149950935,0.013225867482468573,2.312964634635743e-17,0.010854292055717469,6.47630097698008e-17,0.026434394738867564
0.95,9,50000,134.4,0.0006668930155491679,0.003129043717895524,0.014069434289779574,0.013598492484029782,2.312964634635743e-17,0.02479667230546821,6.47630097698008e-17,0.041480426269604374
0.95,9,100000,144.1,0.0004194016113699406,0.002270454860124193,0.01496362499560518,0.01431934797739325,2.312964634635743e-17,0.003295724781830002,6.47630097698008e-17,0.015722692447564898
0.99,0,500,60.0,0.003434384118039655,0.013833395099544113,0.006132929560946662,0.0026578169441679317,0.0009025170889086624,0.03164732259978647,0.0009026179519192082,0.019037081468895704
0.99,0,1000,70.0,0.004377017971688157,0.009848709367078651,0.007413849691772621,0.002694363227699521,0.00018468875210364902,0.002807294300127298,0.00018468875218221868,0.0175388469409757
0.99,0,2500,36.0,0.0009183115188594326,0.006223913759785622,0.004017076411125668,0.0026900765617533877,9.379021183199046e-07,0.0018356351216652956,9.379021183308911e-07,0.018934081226459596
